SubID	Block	SearchType	Feature	MotionPresent	GroupMotion	Trial	SetSize	TargetPresent	Accuracy	RTms
9997	1	conjunction	shape	Motion	none	1	5	1	1	568
9997	1	conjunction	shape	Motion	none	2	7	0	1	683
9997	1	conjunction	shape	Motion	none	3	1	1	1	630
9997	1	conjunction	shape	Motion	none	4	9	0	1	596
9997	1	conjunction	shape	Motion	none	5	7	0	1	733
9997	1	conjunction	shape	Motion	none	6	11	1	1	683
9997	1	conjunction	shape	Motion	none	7	11	0	1	653
9997	1	conjunction	shape	Motion	none	8	5	1	1	471
9997	1	conjunction	shape	Motion	none	9	11	0	1	708
9997	1	conjunction	shape	Motion	none	10	3	1	1	511
9997	1	conjunction	shape	Motion	none	11	11	0	1	864
9997	1	conjunction	shape	Motion	none	12	5	0	1	750
9997	1	conjunction	shape	Motion	none	13	3	1	1	453
9997	1	conjunction	shape	Motion	none	14	3	1	1	606
9997	1	conjunction	shape	Motion	none	15	5	0	1	642
9997	1	conjunction	shape	Motion	none	16	5	0	1	497
9997	1	conjunction	shape	Motion	none	17	1	0	1	729
9997	1	conjunction	shape	Motion	none	18	9	1	1	747
9997	1	conjunction	shape	Motion	none	19	7	1	0	833
9997	1	conjunction	shape	Motion	none	20	9	1	1	603
9997	1	conjunction	shape	Motion	none	21	3	0	1	539
9997	1	conjunction	shape	Motion	none	22	9	1	1	1042
9997	1	conjunction	shape	Motion	none	23	1	1	1	577
9997	1	conjunction	shape	Motion	none	24	7	0	1	613
9997	1	conjunction	shape	Motion	none	25	1	1	1	433
9997	1	conjunction	shape	Motion	none	26	3	0	1	586
9997	1	conjunction	shape	Motion	none	27	7	0	1	704
9997	1	conjunction	shape	Motion	none	28	9	0	1	541
9997	1	conjunction	shape	Motion	none	29	11	1	1	577
9997	1	conjunction	shape	Motion	none	30	9	0	1	562
9997	1	conjunction	shape	Motion	none	31	9	0	1	565
9997	1	conjunction	shape	Motion	none	32	1	1	1	501
9997	1	conjunction	shape	Motion	none	33	1	0	1	636
9997	1	conjunction	shape	Motion	none	34	7	1	1	672
9997	1	conjunction	shape	Motion	none	35	3	0	1	508
9997	1	conjunction	shape	Motion	none	36	11	1	1	677
9997	1	conjunction	shape	Motion	none	37	5	1	1	530
9997	1	conjunction	shape	Motion	none	38	3	0	1	484
9997	1	conjunction	shape	Motion	none	39	1	0	1	488
9997	1	conjunction	shape	Motion	none	40	7	1	1	524
9997	1	conjunction	shape	Motion	none	41	5	0	1	977
9997	1	conjunction	shape	Motion	none	42	3	1	1	497
9997	1	conjunction	shape	Motion	none	43	1	0	1	633
9997	1	conjunction	shape	Motion	none	44	11	1	1	570
9997	1	conjunction	shape	Motion	none	45	5	1	1	540
9997	1	conjunction	shape	Motion	none	46	9	1	1	576
9997	1	conjunction	shape	Motion	none	47	11	0	1	662
9997	1	conjunction	shape	Motion	none	48	7	1	1	465
9997	2	conjunction	shape	Motion	none	1	7	1	1	557
9997	2	conjunction	shape	Motion	none	2	3	0	1	609
9997	2	conjunction	shape	Motion	none	3	1	1	1	512
9997	2	conjunction	shape	Motion	none	4	7	1	1	548
9997	2	conjunction	shape	Motion	none	5	1	1	1	401
9997	2	conjunction	shape	Motion	none	6	3	0	1	1222
9997	2	conjunction	shape	Motion	none	7	7	1	1	573
9997	2	conjunction	shape	Motion	none	8	5	1	1	593
9997	2	conjunction	shape	Motion	none	9	11	0	1	796
9997	2	conjunction	shape	Motion	none	10	9	0	1	765
9997	2	conjunction	shape	Motion	none	11	11	1	1	668
9997	2	conjunction	shape	Motion	none	12	1	1	1	488
9997	2	conjunction	shape	Motion	none	13	9	0	1	924
9997	2	conjunction	shape	Motion	none	14	3	0	1	543
9997	2	conjunction	shape	Motion	none	15	3	1	1	696
9997	2	conjunction	shape	Motion	none	16	3	1	1	549
9997	2	conjunction	shape	Motion	none	17	9	1	1	603
9997	2	conjunction	shape	Motion	none	18	5	0	1	522
